id,area,level,name,perimeter,unbounded_height,classification
3431424,10.993272174064844,U1_OK,Enclosed office,13.833455033568203,3.2,space
3431425,20.4377900359852,U1_OK,Open office,18.0579230015682,3.2,space
3431429,15.959301811294925,U1_OK,Corridor,24.910812405458653,3.2,space
3431431,11.711295602022401,U1_OK,Stairway,14.56979297600001,3.2,space
3431446,10.046694659411976,U1_OK,Confidential meetings room,13.407234633568343,3.2,space
3431457,5.361709400012002,U1_OK,Enclosed office,9.317912192000165,3.2,space
3431458,6.653684640788199,U1_OK,Enclosed office,10.31791040000011,3.2,space
3431459,8.785447670203286,U1_OK,Enclosed office,11.967910448000204,3.2,space
3431469,20.437790035985156,E0_OK,Open office,18.05792300156818,3.1999999999999997,space
3431471,10.046694659411955,E0_OK,Confidential meetings room,13.40723463356834,3.1999999999999997,space
3431475,15.95930181129501,E0_OK,Corridor,24.910812405458678,3.1999999999999997,space
3431477,11.711295602022393,E0_OK,Stairway,14.56979297600001,3.1999999999999997,space
3431500,8.785447670203308,E0_OK,Enclosed office,11.967910448000213,3.1999999999999997,space
3431502,5.361709400012012,E0_OK,Enclosed office,9.317912192000165,3.1999999999999997,space
3431503,6.653684640788188,E0_OK,Enclosed office,10.31791040000012,3.1999999999999997,space
3561033,13.250246859445564,U1_OK,Reception area,15.199233882541346,3.2,space
3561042,13.250246859445511,E0_OK,Reception area,15.199233882541325,3.1999999999999997,space
3588712,6.640652390830154,U1_OK,Enclosed office,10.307823344000171,2.4384,space
3589994,6.640652390830154,E0_OK,Enclosed office,10.307823344000171,2.4384,space
3594655,18.21650338644737,U1_OK,Power supply room,17.40943050654136,2.4384,space
3594670,18.216503386447393,E0_OK,Power supply room,17.409430506541348,2.4384,space
3598073,21.516108626524318,E0_OK,Corridor,23.433777488000146,2.4384,space
3598076,10.993271837465057,E0_OK,Enclosed office,13.833454761568186,2.4384,space
3598079,12.12729182789849,E0_OK,Corridor,15.069547818541293,2.4384,space
3598097,21.51610862652427,U1_OK,Corridor,23.433777488000157,2.4384,space
3598100,12.12729182789847,U1_OK,Corridor,15.069547818541293,2.4384,space
