id,head_height,mark,classification
3151457,2.4999999999999996,384,window
3151458,2.4999999999999996,385,window
3151459,2.4999999999999996,386,window
3151460,2.4999999999999996,387,window
3151461,2.4999999999999996,388,window
3184211,2.4999999999999996,496,window
3184212,2.4999999999999996,497,window
3184213,2.4999999999999996,498,window
3184214,2.4999999999999996,499,window
3184215,2.4999999999999996,500,window
3192705,2.4999999999999996,548,window
3192716,2.4999999999999996,559,window
3192897,2.4999999999999996,562,window
3192898,2.4999999999999996,563,window
3192908,2.4999999999999996,573,window
3195649,2.4999999999999996,666,window
3195651,2.4999999999999996,668,window
3195653,2.4999999999999996,670,window
3195654,2.4999999999999996,671,window
3195657,2.4999999999999996,674,window
3195658,2.4999999999999996,675,window
3195660,2.4999999999999996,677,window
3195843,2.4999999999999996,680,window
3195847,2.4999999999999996,684,window
3195848,2.4999999999999996,685,window
3195851,2.4999999999999996,688,window
3195852,2.4999999999999996,689,window
3195853,2.4999999999999996,690,window
3195854,2.4999999999999996,691,window
