,IBC1020_2,IBC1207_1,IBC1207_3
0,1W6Thknzf2qup40FGN1N30,1W6Thknzf2qup40FGN1N30,1W6Thknzf2qup40FGN1N30
1,1W6Thknzf2qup40FGN1NE2,0zk4WfOuPFg8xQ3bt9ab_k,0zk4WfOuPFg8xQ3bt9ab_k
2,3575217,0zk4WfOuPFg8xQ3bt9abwO,0zk4WfOuPFg8xQ3bt9abwO
3,0zk4WfOuPFg8xQ3bt9abwO,1iin7g1k928O2DBRSrKl7s,1iin7g1k928O2DBRSrKl7s
4,0zk4WfOuPFg8xQ3bt9abzW,1iin7g1k928O2DBRSrKlO6,1iin7g1k928O2DBRSrKlO6
5,2_414Bjl90PPXdZA2Pm_X8,16sF2PP3fDW80DhY_ucSuj,16sF2PP3fDW80DhY_ucSuj
6,0zk4WfOuPFg8xQ3bt9ab_Y,1iin7g1k928O2DBRSrKlQo,1iin7g1k928O2DBRSrKlQo
7,3575064,16sF2PP3fDW80DhY_ucSjU,16sF2PP3fDW80DhY_ucSjU
8,0zk4WfOuPFg8xQ3bt9abzi,2_414Bjl90PPXdZA2Pm_Wa,2_414Bjl90PPXdZA2Pm_Wa
9,16sF2PP3fDW80DhY_ucSjU,2_414Bjl90PPXdZA2Pm_Zk,2_414Bjl90PPXdZA2Pm_Zk
10,2_414Bjl90PPXdZA2Pm_Wx,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA
11,2_414Bjl90PPXdZA2Pm_ZI,,
12,2_414Bjl90PPXdZA2Pm_Wa,,
13,0zk4WfOuPFg8xQ3bt9abzg,,
14,0zk4WfOuPFg8xQ3bt9abzx,,
15,3575321,,
16,1W6Thknzf2qup40FGN1NEA,,
17,2_414Bjl90PPXdZA2Pm_W$,,
