,IBC1020_2,IBC1207_1,IBC1207_3
0,0zk4WfOuPFg8xQ3bt9abw6,1W6Thknzf2qup40FGN1N30,1W6Thknzf2qup40FGN1N30
1,2SzsE5m8T4h9JlM6XpBSnU,2ex5B8xFnEHumuJWUHWId$,2ex5B8xFnEHumuJWUHWId$
2,1W6Thknzf2qup40FGN1N30,2ex5B8xFnEHumuJWUHWJON,2ex5B8xFnEHumuJWUHWJON
3,2_414Bjl90PPXdZA2Pm_W$,2SzsE5m8T4h9JlM6XpBSmM,2SzsE5m8T4h9JlM6XpBSmM
4,2SzsE5m8T4h9JlM6XpBSmV,0zk4WfOuPFg8xQ3bt9abzi,0zk4WfOuPFg8xQ3bt9abzi
5,2ex5B8xFnEHumuJWUHWId$,2SzsE5m8T4h9JlM6XpBSmz,2SzsE5m8T4h9JlM6XpBSmz
6,0x9eIQ2Fv6Qwnr_8CyHEvj,2SzsE5m8T4h9JlM6XpBSmE,2SzsE5m8T4h9JlM6XpBSmE
7,2ex5B8xFnEHumuJWUHWJON,1iin7g1k928O2DBRSrKk2H,1iin7g1k928O2DBRSrKk2H
8,2_414Bjl90PPXdZA2Pm_Xi,1iin7g1k928O2DBRSrKkzM,1iin7g1k928O2DBRSrKkzM
9,1W6Thknzf2qup40FGN1NE2,2SzsE5m8T4h9JlM6XpBSmT,2SzsE5m8T4h9JlM6XpBSmT
10,0zk4WfOuPFg8xQ3bt9abzi,1iin7g1k928O2DBRSrKkB3,1iin7g1k928O2DBRSrKkB3
11,0zk4WfOuPFg8xQ3bt9ab_Y,2SzsE5m8T4h9JlM6XpBSmu,2SzsE5m8T4h9JlM6XpBSmu
12,2SzsE5m8T4h9JlM6XpBSmz,2SzsE5m8T4h9JlM6XpBSmy,2SzsE5m8T4h9JlM6XpBSmy
13,1W6Thknzf2qup40FGN1NE6,2SzsE5m8T4h9JlM6XpBSmL,2SzsE5m8T4h9JlM6XpBSmL
14,2SzsE5m8T4h9JlM6XpBSnX,0zk4WfOuPFg8xQ3bt9abwO,0zk4WfOuPFg8xQ3bt9abwO
15,2SzsE5m8T4h9JlM6XpBSm0,2_414Bjl90PPXdZA2Pm_Wx,2_414Bjl90PPXdZA2Pm_Wx
16,2SzsE5m8T4h9JlM6XpBSmy,2SzsE5m8T4h9JlM6XpBSmA,2SzsE5m8T4h9JlM6XpBSmA
