ifcguid,d_dr_ew,d_dr_sn,exit,height,id,rough_height,storey_exit,type_ifcguid,classification
3ayCSwian5Gu9JWrCl14uR,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2AUttk8898D8NWZeHFnmiu,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2nqe72sT9Bowtl9nyFej0w,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2nqe72sT9Bowtl9nyFej5f,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2nqe72sT9Bowtl9nyFejAf,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1AEq5tycj41f3kSDK92JAH,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
3xqxfB0kPAAeJeHQ5M$r17,,,,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,door
3xqxfB0kPAAeJeHQ5M$r0u,,,,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,door
28pOo0cPL6KPXfzSWk0b_O,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0boM,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0bjQ,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0bjT,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0bj2,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0bj5,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0bju,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0bYh,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
28pOo0cPL6KPXfzSWk0bYk,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
0G2p04$tjCMPdIXsj8SuUS,,,1,,,2.1,,2NKTNbJKP36hSTtB23uCk3,door
16sF2PP3fDW80DhY_ucSfo,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
16sF2PP3fDW80DhY_ucSn0,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
16sF2PP3fDW80DhY_ucSod,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
16sF2PP3fDW80DhY_ucSzZ,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2EhZIpA4H5B80taA5MD7$O,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2EhZIpA4H5B80taA5MD7zn,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2EhZIpA4H5B80taA5MD73G,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2EhZIpA4H5B80taA5MD72d,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2EhZIpA4H5B80taA5MD71e,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2EhZIpA4H5B80taA5MD77J,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
