ifcguid,area,d_wl_ew,d_wl_sn,id,isexternal,isstairwaywall,length,structural,type_ifcguid,unconnected_height,volume,classification
0zk4WfOuPFg8xQ3bt9abw6,15.807677081599953,30.02874664800001,,,0,1,4.989899087999992,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.580767708159993,wall
0zk4WfOuPFg8xQ3bt9abw4,18.495998464000007,26.668756416,,,0,,5.954999519999998,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.849599846400011,wall
0zk4WfOuPFg8xQ3bt9abw2,15.647677081599989,7.116891024000004,,,0,1,4.989899087999992,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.564767708160016,wall
0zk4WfOuPFg8xQ3bt9abwE,15.647677081599989,9.686888424000001,,,1,1,4.9898990880000005,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.564767708160016,wall
0zk4WfOuPFg8xQ3bt9abwM,15.64767708159999,11.086889688000005,,,1,,4.9898990880000005,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.5647677081600158,wall
0zk4WfOuPFg8xQ3bt9abwK,15.647677081599989,18.286890528000008,,,1,,4.9898990880000005,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.5647677081600047,wall
0zk4WfOuPFg8xQ3bt9abwO,30.53386478080003,2.7589551120000024,,,0,,11.094957744,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,3.0533864780799664,wall
0zk4WfOuPFg8xQ3bt9abzW,30.323864780800008,3.776868240000002,,,0,,11.094957743999991,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,3.032386478079969,wall
0zk4WfOuPFg8xQ3bt9abzi,93.06207101440006,,4.4199566160000145,,0,,30.560022192000012,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,9.306207101440313,wall
0zk4WfOuPFg8xQ3bt9abzg,13.583861171199962,9.516889272,,,0,,4.419956616000001,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.3583861171200158,wall
0zk4WfOuPFg8xQ3bt9abzm,6.088042214400256,,13.474958063999997,,0,,2.4368881920000747,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,0.6088042214400454,wall
0zk4WfOuPFg8xQ3bt9abzz,16.319999564800007,2.436888192000005,,,0,,5.274999864000006,1,3aSwb19Dv5TwKrEFFHK$2Y,3.1999999999999997,1.6319999564799834,wall
