id,elementifcguid,name,value,classification
3595740,0zk4WfOuPFg8xQ3bt9abw6,E0_OK_d_wl_ew0,30.028746648000002,parameter
3595741,0zk4WfOuPFg8xQ3bt9abw4,E0_OK_d_wl_ew1,26.668756416,parameter
3595742,0zk4WfOuPFg8xQ3bt9abw2,E0_OK_d_wl_ew2,7.116891024,parameter
3595743,0zk4WfOuPFg8xQ3bt9abwE,E0_OK_d_wl_ew3,9.686888424000001,parameter
3595744,0zk4WfOuPFg8xQ3bt9abwM,E0_OK_d_wl_ew4,11.086889688000001,parameter
3595745,0zk4WfOuPFg8xQ3bt9abwK,E0_OK_d_wl_ew5,18.286890528,parameter
3595746,0zk4WfOuPFg8xQ3bt9abwO,E0_OK_d_wl_ew6,2.758955112,parameter
3595747,0zk4WfOuPFg8xQ3bt9abzW,E0_OK_d_wl_ew7,3.7768682399999998,parameter
3595748,0zk4WfOuPFg8xQ3bt9abzg,E0_OK_d_wl_ew8,9.516889272,parameter
3595749,0zk4WfOuPFg8xQ3bt9abzz,E0_OK_d_wl_ew9,2.436888192,parameter
3595750,0zk4WfOuPFg8xQ3bt9abzx,E0_OK_d_wl_ew10,6.75686736,parameter
3595751,0zk4WfOuPFg8xQ3bt9abz5,E0_OK_d_wl_ew11,7.036890168,parameter
3595752,0zk4WfOuPFg8xQ3bt9abzA,E0_OK_d_wl_ew12,19.214390832000003,parameter
3595753,0zk4WfOuPFg8xQ3bt9abzV,E0_OK_d_wl_ew13,17.786890512,parameter
3595754,0zk4WfOuPFg8xQ3bt9abzR,E0_OK_d_wl_ew14,25.936888944,parameter
3595755,0zk4WfOuPFg8xQ3bt9abyY,E0_OK_d_wl_ew15,18.99438924,parameter
3595756,0zk4WfOuPFg8xQ3bt9abyi,E0_OK_d_wl_ew16,12.986890967999999,parameter
3595757,0zk4WfOuPFg8xQ3bt9abyp,E0_OK_d_wl_ew17,12.036890328,parameter
3595758,0zk4WfOuPFg8xQ3bt9abyn,E0_OK_d_wl_ew18,13.93688856,parameter
3595759,0zk4WfOuPFg8xQ3bt9aby$,E0_OK_d_wl_ew19,14.886889200000002,parameter
3595760,0zk4WfOuPFg8xQ3bt9abyz,E0_OK_d_wl_ew20,15.836889840000001,parameter
3595761,0zk4WfOuPFg8xQ3bt9abyv,E0_OK_d_wl_ew21,16.936888656,parameter
3595762,0zk4WfOuPFg8xQ3bt9aby7,E0_OK_d_wl_ew22,16.256889,parameter
3595763,0zk4WfOuPFg8xQ3bt9abyF,E0_OK_d_wl_ew23,12.971888712,parameter
3595764,0zk4WfOuPFg8xQ3bt9ab$d,E0_OK_d_wl_ew24,16.286890464000003,parameter
3595765,0zk4WfOuPFg8xQ3bt9ab$z,E0_OK_d_wl_ew25,32.501747544000004,parameter
3595766,0zk4WfOuPFg8xQ3bt9ab$4,E0_OK_d_wl_ew26,32.501747544000004,parameter
3595767,0zk4WfOuPFg8xQ3bt9ab$D,E0_OK_d_wl_ew27,29.344388352000003,parameter
3595768,0zk4WfOuPFg8xQ3bt9ab$I,E0_OK_d_wl_ew28,34.336890432000004,parameter
3595769,0zk4WfOuPFg8xQ3bt9ab_b,E0_OK_d_wl_ew29,14.221888752,parameter
3595770,3Hrewwg9b5KejEicfrynsn,E0_OK_d_wl_ew30,37.749989016,parameter
3595771,03hb0ndU95PO$5sAGF2RQb,E0_OK_d_wl_ew31,0.0,parameter
3595862,0zk4WfOuPFg8xQ3bt9abzi,E0_OK_d_wl_sn0,4.419956616,parameter
3595863,0zk4WfOuPFg8xQ3bt9abzm,E0_OK_d_wl_sn1,13.474958064000003,parameter
3595864,0zk4WfOuPFg8xQ3bt9abyg,E0_OK_d_wl_sn2,7.819957944,parameter
3595865,0zk4WfOuPFg8xQ3bt9aby5,E0_OK_d_wl_sn3,9.134956584000001,parameter
3595866,0zk4WfOuPFg8xQ3bt9abyD,E0_OK_d_wl_sn4,9.2699586,parameter
3595867,0zk4WfOuPFg8xQ3bt9aby9,E0_OK_d_wl_sn5,8.104958136,parameter
3595868,0zk4WfOuPFg8xQ3bt9ab$F,E0_OK_d_wl_sn6,16.074956928,parameter
3595869,0zk4WfOuPFg8xQ3bt9ab$M,E0_OK_d_wl_sn7,6.6249590640000005,parameter
3595870,0zk4WfOuPFg8xQ3bt9ab_Y,E0_OK_d_wl_sn8,2.289797808,parameter
3595871,0zk4WfOuPFg8xQ3bt9ab_k,E0_OK_d_wl_sn9,4.925001072,parameter
3595872,0zk4WfOuPFg8xQ3bt9abn4,E0_OK_d_wl_sn10,7.819957944,parameter
3595873,0zk4WfOuPFg8xQ3bt9abnC,E0_OK_d_wl_sn11,9.134956584000001,parameter
3595874,0zk4WfOuPFg8xQ3bt9abnA,E0_OK_d_wl_sn12,9.2699586,parameter
3595875,0zk4WfOuPFg8xQ3bt9abn8,E0_OK_d_wl_sn13,7.819957944,parameter
3595876,0zk4WfOuPFg8xQ3bt9abnM,E0_OK_d_wl_sn14,7.819957944,parameter
3595877,2_414Bjl90PPXdZA2Pm$r8,E0_OK_d_wl_sn15,18.749957928,parameter
3595878,2ex5B8xFnEHumuJWUHWJOI,E0_OK_d_wl_sn16,6.105058656000001,parameter
3595879,2ex5B8xFnEHumuJWUHWJOC,E0_OK_d_wl_sn17,13.474958064000003,parameter
3595880,3fetmy$FH9ZAKfQ_vq7_Pt,E0_OK_d_wl_sn18,0.0,parameter
3595881,1iin7g1k928O2DBRSrKlO6,E0_OK_d_wl_sn19,2.7500000879999997,parameter
3595882,1iin7g1k928O2DBRSrKkzM,E0_OK_d_wl_sn20,10.724957976,parameter
3595883,1iin7g1k928O2DBRSrKk1K,E0_OK_d_wl_sn21,13.474958064000003,parameter
