,IBC1020_2,IBC1207_1,IBC1207_3
0,1W6Thknzf2qup40FGN1N30,1W6Thknzf2qup40FGN1N30,1W6Thknzf2qup40FGN1N30
1,0zk4WfOuPFg8xQ3bt9ab_Y,2SzsE5m8T4h9JlM6XpBSna,2SzsE5m8T4h9JlM6XpBSna
2,28pOo0cPL6KPXfzSWk0bZT,2SzsE5m8T4h9JlM6XpBSmA,2SzsE5m8T4h9JlM6XpBSmA
3,2SzsE5m8T4h9JlM6XpBSm9,2SzsE5m8T4h9JlM6XpBSm9,2SzsE5m8T4h9JlM6XpBSm9
4,2SzsE5m8T4h9JlM6XpBSm0,2_414Bjl90PPXdZA2Pm_Zk,2_414Bjl90PPXdZA2Pm_Zk
5,0zk4WfOuPFg8xQ3bt9abzW,2_414Bjl90PPXdZA2Pm_Wa,2_414Bjl90PPXdZA2Pm_Wa
6,2SzsE5m8T4h9JlM6XpBSng,1iin7g1k928O2DBRSrKl7s,1iin7g1k928O2DBRSrKl7s
7,2SzsE5m8T4h9JlM6XpBSmz,2SzsE5m8T4h9JlM6XpBSmw,2SzsE5m8T4h9JlM6XpBSmw
8,28pOo0cPL6KPXfzSWk0bZA,1iin7g1k928O2DBRSrKlQo,1iin7g1k928O2DBRSrKlQo
9,1W6Thknzf2qup40FGN1NEA,1iin7g1k928O2DBRSrKlO6,1iin7g1k928O2DBRSrKlO6
10,2_414Bjl90PPXdZA2Pm_ZI,2SzsE5m8T4h9JlM6XpBSmz,2SzsE5m8T4h9JlM6XpBSmz
11,2SzsE5m8T4h9JlM6XpBSmy,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA
12,28pOo0cPL6KPXfzSWk0bZO,2SzsE5m8T4h9JlM6XpBSnb,2SzsE5m8T4h9JlM6XpBSnb
13,2SzsE5m8T4h9JlM6XpBSna,0zk4WfOuPFg8xQ3bt9abwO,0zk4WfOuPFg8xQ3bt9abwO
14,2SzsE5m8T4h9JlM6XpBSkx,2SzsE5m8T4h9JlM6XpBSm8,2SzsE5m8T4h9JlM6XpBSm8
15,2SzsE5m8T4h9JlM6XpBSmw,2SzsE5m8T4h9JlM6XpBSnd,2SzsE5m8T4h9JlM6XpBSnd
16,0zk4WfOuPFg8xQ3bt9abzx,0zk4WfOuPFg8xQ3bt9ab_k,0zk4WfOuPFg8xQ3bt9ab_k
17,1W6Thknzf2qup40FGN1NE4,2SzsE5m8T4h9JlM6XpBSmy,2SzsE5m8T4h9JlM6XpBSmy
18,2SzsE5m8T4h9JlM6XpBSku,,
19,28pOo0cPL6KPXfzSWk0bZ3,,
20,2SzsE5m8T4h9JlM6XpBSm8,,
21,1W6Thknzf2qup40FGN1N3C,,
22,2SzsE5m8T4h9JlM6XpBSnd,,
23,0zk4WfOuPFg8xQ3bt9ab_k,,
24,2_414Bjl90PPXdZA2Pm_W$,,
25,1iin7g1k928O2DBRSrKlQo,,
26,2SzsE5m8T4h9JlM6XpBSmn,,
27,2SzsE5m8T4h9JlM6XpBSmV,,
28,2SzsE5m8T4h9JlM6XpBSmO,,
29,2SzsE5m8T4h9JlM6XpBSmA,,
30,2_414Bjl90PPXdZA2Pm_Wa,,
31,1iin7g1k928O2DBRSrKlO6,,
32,2SzsE5m8T4h9JlM6XpBSm_,,
33,1W6Thknzf2qup40FGN1NE2,,
34,2SzsE5m8T4h9JlM6XpBSnU,,
35,2SzsE5m8T4h9JlM6XpBSm3,,
36,0zk4WfOuPFg8xQ3bt9abzg,,
37,2_414Bjl90PPXdZA2Pm_Wv,,
38,28pOo0cPL6KPXfzSWk0bZ4,,
39,2_414Bjl90PPXdZA2Pm_Zk,,
40,1iin7g1k928O2DBRSrKl7s,,
41,28pOo0cPL6KPXfzSWk0bZF,,
42,28pOo0cPL6KPXfzSWk0aBt,,
43,2SzsE5m8T4h9JlM6XpBSnH,,
44,2SzsE5m8T4h9JlM6XpBSnb,,
45,0zk4WfOuPFg8xQ3bt9abwO,,
46,2_414Bjl90PPXdZA2Pm_X8,,
47,28pOo0cPL6KPXfzSWk0aFt,,
48,28pOo0cPL6KPXfzSWk0aFx,,
49,1W6Thknzf2qup40FGN1NEN,,
50,2SzsE5m8T4h9JlM6XpBSnj,,
