,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
84,2.813,2.6738,7.705999999999999,5.183599999999999,9.683,False,True,False,False
85,2.8154,2.7482,7.7528,5.0276,9.563,False,True,False,False
86,2.7794,2.6054,7.8824,5.036,9.8246,True,True,False,False
87,2.7122,2.7386,7.6124,5.0648,9.5858,False,True,False,False
88,2.5922,2.735,7.676,5.1572,9.6578,True,True,False,False
89,2.8946,2.7338,7.8152,5.2028,9.707,False,True,False,False
90,2.621,2.5058,7.843999999999999,5.142799999999999,9.767,True,True,False,False
91,2.729,2.4554,7.6772,5.0228,9.611,False,True,False,False
92,2.4842,2.6042,7.633999999999999,5.1788,9.6206,True,True,False,False
93,2.6138,2.5226,7.778,4.9988,9.5654,False,True,False,False
94,2.8562,2.4746,7.7012,5.1692,9.5894,False,True,False,False
95,2.9978,2.6558,7.7936,5.094799999999999,9.5474,False,True,True,False
96,2.9234,2.6294,7.718,5.1644,9.5558,False,True,True,False
97,2.4866,2.6882,7.8164,4.928,9.761,True,True,False,False
98,2.7818,2.5262,7.795999999999999,5.1284,9.8402,True,True,False,False
99,2.9594,2.459,7.649599999999999,5.077999999999999,9.7754,False,True,False,False
100,2.5586,2.4734000000000003,7.6244,4.9664,9.6494,True,True,False,False
101,2.7626,2.5646,7.766,5.0156,9.7826,True,True,False,False
102,2.8514,2.4518,7.7372,5.0672,9.7838,False,True,False,False
103,2.8034,2.4566000000000003,7.6208,5.108,9.7118,False,True,False,False
104,2.8706,2.6102000000000003,7.740799999999999,5.0972,9.5822,False,True,False,False
105,2.9666,2.6462,7.667599999999999,4.989199999999999,9.6086,False,True,False,False
106,2.7218,2.5022,7.780399999999999,5.138,9.833,True,True,False,False
107,2.885,2.5874,7.803199999999999,5.101999999999999,9.7094,False,True,True,False
108,2.5778,2.5106,7.611199999999999,5.1476,9.545,False,True,False,False
109,3.0026,2.4722,7.8344,5.1368,9.6098,False,True,False,False
110,2.7002,2.4650000000000003,7.8704,4.9904,9.6866,True,True,False,False
111,2.6834,2.5118,7.742,4.9292,9.6626,False,True,False,False
112,2.5178000000000003,2.6822,7.738399999999999,4.976,9.5966,True,True,False,False
113,2.969,2.5886,7.79,4.9304,9.6122,False,True,False,False
114,2.9114,2.621,7.829599999999999,5.045599999999999,9.6842,False,True,False,False
115,2.6642,2.5238,7.884799999999999,5.162,9.8042,True,True,False,False
116,2.5658,2.6426,7.8644,4.9712,9.779,True,True,False,False
117,2.7986,2.6282,7.6316,5.012,9.7814,True,True,False,False
118,2.5274,2.4794,7.7168,5.070799999999999,9.7058,True,True,False,False
119,2.7074,2.555,7.7096,5.1164,9.8174,True,True,False,False
120,2.8106,2.5598,7.625599999999999,5.1536,9.7898,False,True,False,False
121,2.6282,2.651,7.7492,5.0108,9.6518,True,True,False,False
122,2.9306,2.723,7.842799999999999,4.9484,9.647,False,False,False,False
123,2.6762,2.4962,7.7696,5.0396,9.6326,False,True,False,False
124,2.5634,2.4542,7.698799999999999,4.9544,9.7982,True,True,False,False
125,2.7602,2.5982000000000003,7.821199999999999,4.9436,9.7562,True,True,False,False
126,2.4794,2.6702,7.712,5.053999999999999,9.8018,True,True,False,False
127,2.8058,2.4914,7.805599999999999,5.198,9.6926,False,True,False,False
128,2.8658,2.5130000000000003,7.8176,5.0492,9.587,False,True,False,False
129,2.4698,2.5466,7.7504,4.9352,9.593,True,True,False,False
130,2.6114,2.7086,7.7276,4.973599999999999,9.821,True,True,False,False
131,3.0482,2.6726,7.852399999999999,5.2064,9.6566,False,True,True,False
132,2.4914,2.7254,7.6868,4.9928,9.6758,True,True,False,False
133,2.8274,2.4866,7.6556,5.0192,9.7622,False,True,False,False
134,2.7842,2.633,7.794799999999999,5.048,9.7394,False,True,False,False
135,2.7338,2.4530000000000003,7.683199999999999,5.2088,9.6506,False,True,False,False
136,3.053,2.471,7.8008,5.0096,9.7718,False,True,True,False
137,2.9714,2.7302,7.7264,5.024,9.5498,False,True,False,False
138,2.9354,2.7134,7.6376,5.18,9.7334,False,True,True,False
139,2.501,2.5538000000000003,7.818799999999999,5.21,9.6338,True,True,False,False
140,2.5346,2.615,7.846399999999999,4.9376,9.6134,True,True,False,False
141,2.8586,2.7098,7.6964,5.0504,9.7706,False,True,False,False
142,2.8874,2.6534,7.8488,4.9916,9.6218,False,True,False,False
143,2.4746,2.5142,7.722799999999999,5.0996,9.659,True,True,False,False
144,3.0314,2.5622000000000003,7.6136,5.1068,9.5666,False,True,True,False
145,2.8226,2.669,7.604,5.167999999999999,9.5786,False,True,False,False
146,2.8322,2.603,7.875199999999999,5.1656,9.653,False,True,False,False
147,2.993,2.5202,7.786399999999999,5.159599999999999,9.671,False,True,True,False
148,3.0242,2.627,7.626799999999999,4.9856,9.581,False,True,False,False
149,2.9138,2.4662,7.894399999999999,5.0984,9.7202,False,True,False,False
