,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
67,2.5514,2.681,7.802,5.1392,9.6722,TRUE,TRUE,FALSE,FALSE
68,2.9426,2.5718,7.7132,5.0204,9.6686,FALSE,TRUE,FALSE,FALSE
69,2.7434,2.5958,7.7984,4.9592,9.6182,FALSE,TRUE,FALSE,FALSE
70,2.8418,2.549,7.8608,4.9568,9.7478,FALSE,TRUE,FALSE,FALSE
71,2.477,2.4626,7.8584,5.15,9.6638,TRUE,TRUE,FALSE,FALSE
72,2.9066,2.5502,7.6064,4.9808,9.6458,FALSE,TRUE,FALSE,FALSE
73,3.0098,2.5946,7.8392,4.9772,9.7382,FALSE,TRUE,FALSE,FALSE
74,2.8466,2.6642,7.6844,4.9496,9.5486,FALSE,TRUE,FALSE,FALSE
75,2.5562,2.7266,7.784,5.0012,9.8054,TRUE,TRUE,FALSE,FALSE
76,2.8178,2.4938,7.8596,4.9796,9.6662,FALSE,TRUE,FALSE,FALSE
77,2.6426,2.5754,7.8368,5.1752,9.6938,TRUE,TRUE,FALSE,FALSE
78,2.5154,2.501,7.6904,5.0888,9.6242,TRUE,TRUE,FALSE,FALSE
79,2.7314,2.6546,7.8452,5.2136,9.7766,TRUE,TRUE,FALSE,FALSE
80,3.005,2.4878,7.6796,5.12,9.8126,FALSE,TRUE,TRUE,FALSE
81,2.837,2.6522,7.652,5.1956,9.623,FALSE,TRUE,FALSE,FALSE
82,2.7578,2.5898,7.688,5.222,9.8078,TRUE,TRUE,FALSE,FALSE
83,2.5706,2.7278,7.6724,5.0372,9.689,TRUE,TRUE,FALSE,FALSE
84,2.813,2.6738,7.706,5.1836,9.683,FALSE,TRUE,FALSE,FALSE
85,2.8154,2.7482,7.7528,5.0276,9.563,FALSE,TRUE,FALSE,FALSE
86,2.7794,2.6054,7.8824,5.036,9.8246,TRUE,TRUE,FALSE,FALSE
87,2.7122,2.7386,7.6124,5.0648,9.5858,FALSE,TRUE,FALSE,FALSE
88,2.5922,2.735,7.676,5.1572,9.6578,TRUE,TRUE,FALSE,FALSE
89,2.8946,2.7338,7.8152,5.2028,9.707,FALSE,TRUE,FALSE,FALSE
90,2.621,2.5058,7.844,5.1428,9.767,TRUE,TRUE,FALSE,FALSE
91,2.729,2.4554,7.6772,5.0228,9.611,FALSE,TRUE,FALSE,FALSE
92,2.4842,2.6042,7.634,5.1788,9.6206,TRUE,TRUE,FALSE,FALSE
93,2.6138,2.5226,7.778,4.9988,9.5654,FALSE,TRUE,FALSE,FALSE
94,2.8562,2.4746,7.7012,5.1692,9.5894,FALSE,TRUE,FALSE,FALSE
95,2.9978,2.6558,7.7936,5.0948,9.5474,FALSE,TRUE,TRUE,FALSE
96,2.9234,2.6294,7.718,5.1644,9.5558,FALSE,TRUE,TRUE,FALSE
97,2.4866,2.6882,7.8164,4.928,9.761,TRUE,TRUE,FALSE,FALSE
98,2.7818,2.5262,7.796,5.1284,9.8402,TRUE,TRUE,FALSE,FALSE
99,2.9594,2.459,7.6496,5.078,9.7754,FALSE,TRUE,FALSE,FALSE
100,2.5586,2.4734,7.6244,4.9664,9.6494,TRUE,TRUE,FALSE,FALSE
101,2.7626,2.5646,7.766,5.0156,9.7826,TRUE,TRUE,FALSE,FALSE
102,2.8514,2.4518,7.7372,5.0672,9.7838,FALSE,TRUE,FALSE,FALSE
103,2.8034,2.4566,7.6208,5.108,9.7118,FALSE,TRUE,FALSE,FALSE
104,2.8706,2.6102,7.7408,5.0972,9.5822,FALSE,TRUE,FALSE,FALSE
105,2.9666,2.6462,7.6676,4.9892,9.6086,FALSE,TRUE,FALSE,FALSE
106,2.7218,2.5022,7.7804,5.138,9.833,TRUE,TRUE,FALSE,FALSE
107,2.885,2.5874,7.8032,5.102,9.7094,FALSE,TRUE,TRUE,FALSE
108,2.5778,2.5106,7.6112,5.1476,9.545,FALSE,TRUE,FALSE,FALSE
109,3.0026,2.4722,7.8344,5.1368,9.6098,FALSE,TRUE,FALSE,FALSE
110,2.7002,2.465,7.8704,4.9904,9.6866,TRUE,TRUE,FALSE,FALSE
111,2.6834,2.5118,7.742,4.9292,9.6626,FALSE,TRUE,FALSE,FALSE
112,2.5178,2.6822,7.7384,4.976,9.5966,TRUE,TRUE,FALSE,FALSE
113,2.969,2.5886,7.79,4.9304,9.6122,FALSE,TRUE,FALSE,FALSE
114,2.9114,2.621,7.8296,5.0456,9.6842,FALSE,TRUE,FALSE,FALSE
115,2.6642,2.5238,7.8848,5.162,9.8042,TRUE,TRUE,FALSE,FALSE
116,2.5658,2.6426,7.8644,4.9712,9.779,TRUE,TRUE,FALSE,FALSE
117,2.7986,2.6282,7.6316,5.012,9.7814,TRUE,TRUE,FALSE,FALSE
118,2.5274,2.4794,7.7168,5.0708,9.7058,TRUE,TRUE,FALSE,FALSE
119,2.7074,2.555,7.7096,5.1164,9.8174,TRUE,TRUE,FALSE,FALSE
120,2.8106,2.5598,7.6256,5.1536,9.7898,FALSE,TRUE,FALSE,FALSE
121,2.6282,2.651,7.7492,5.0108,9.6518,TRUE,TRUE,FALSE,FALSE
122,2.9306,2.723,7.8428,4.9484,9.647,FALSE,FALSE,FALSE,FALSE
123,2.6762,2.4962,7.7696,5.0396,9.6326,FALSE,TRUE,FALSE,FALSE
124,2.5634,2.4542,7.6988,4.9544,9.7982,TRUE,TRUE,FALSE,FALSE
125,2.7602,2.5982,7.8212,4.9436,9.7562,TRUE,TRUE,FALSE,FALSE
126,2.4794,2.6702,7.712,5.054,9.8018,TRUE,TRUE,FALSE,FALSE
127,2.8058,2.4914,7.8056,5.198,9.6926,FALSE,TRUE,FALSE,FALSE
128,2.8658,2.513,7.8176,5.0492,9.587,FALSE,TRUE,FALSE,FALSE
129,2.4698,2.5466,7.7504,4.9352,9.593,TRUE,TRUE,FALSE,FALSE
